star no,track no,x1,y1,r1,x2,y2,r2,nrot,drot,csd
1,1,99.4,8.2,4,99.4,8.5,49,0,1,50
1,2,99.4,8.2,4,99.5,8.1,5,0,0,50
1,3,99.4,8.2,4,99.3,8.7,48,0,1,50
1,4,99.4,8.2,4,99.4,8.3,44,0,1,50
1,5,99.4,8.2,4,99.5,8.1,42,0,1,50
1,6,99.4,8.2,4,99.5,8.1,47,0,1,50
1,7,99.4,8.2,4,99.6,8.2,5,0,0,50
1,8,99.4,8.2,4,100.7,8.1,45,0,1,50
1,9,99.4,8.2,4,99.5,8.2,10,0,0,50
1,10,99.4,8.2,4,99.4,8.2,49,0,1,50
1,11,99.4,8.2,4,99.4,8,3,0,1,50
1,12,99.4,8.2,4,99.5,8.2,8,0,0,50
1,13,99.4,8.2,4,99.4,8.2,27,0,0,50
1,14,99.4,8.2,4,99.5,8.4,39,0,0,50
2,2,64.2,127.5,82,63.7,127.7,10,0,1,200
2,3,64.2,127.5,82,64.1,127.5,78,0,1,200
2,4,64.2,127.5,82,64.3,127.6,94,0,0,200
2,5,64.2,127.5,82,64.3,127.5,92,0,0,200
2,6,64.2,127.5,82,64.5,127.6,86,0,0,200
2,7,64.2,127.5,82,64.6,127.4,120,0,1,200
2,8,64.2,127.5,82,64.4,127.4,72,0,1,200
2,9,64.2,127.5,82,64.3,127.3,94,0,0,200
2,10,64.2,127.5,82,64.3,127.2,58,0,1,200
2,11,64.2,127.5,82,64.1,127.4,92,0,0,200
3,1,112.8,10.7,13,112.9,10.7,14,0,1,50
3,2,112.8,10.7,13,112.9,10.7,13,0,0,50
3,3,112.8,10.7,13,112.8,10.6,26,0,1,50
3,4,112.8,10.7,13,112.8,10.6,4,0,0,50
3,5,112.8,10.7,13,112.7,10.5,15,0,1,50
3,6,112.8,10.7,13,112.5,10.3,2,0,1,50
3,7,112.8,10.7,13,112.6,10.8,36,0,1,50
3,8,112.8,10.7,13,112.6,10.8,7,0,0,50
3,9,112.8,10.7,13,112.8,10.7,5,0,0,50
3,10,112.8,10.7,13,112.8,10.7,9,0,0,50
3,11,112.8,10.7,13,112.7,10.8,10,0,0,50
3,12,112.8,10.7,13,112.8,10.7,13,0,0,50
3,13,112.8,10.7,13,116.6,11.9,25,0,1,50
3,14,112.8,10.7,13,113.2,10.6,7,0,0,50
4,1,97.8,7.1,45,98,7.1,36,0,1,50
4,2,97.8,7.1,45,98.2,7.5,40,0,1,50
4,3,97.8,7.1,45,97.8,7.1,45,0,0,50
4,4,97.8,7.1,45,97.8,7.4,40,0,1,50
4,5,97.8,7.1,45,97.7,8,47,0,0,50
4,6,97.8,7.1,45,97.8,7.1,42,0,1,50
4,7,97.8,7.1,45,96.6,7.8,36,0,1,50
4,8,97.8,7.1,45,97.5,7.3,37,0,1,50
4,9,97.8,7.1,45,97.6,7.3,33,0,0,50
4,10,97.8,7.1,45,98.2,6.1,49,0,0,50
4,11,97.8,7.1,45,97.8,7.1,40,0,1,50
4,12,97.8,7.1,45,98.4,7.1,14,0,0,50
5,1,71.8,109.3,22,71.7,109.3,20,0,1,200
